WITNESS_POINTS, NUMBER=360
0.3337,0.0392,0.1000
1.0012,0.0392,0.1000
0.3337,0.0392,0.3000
1.0012,0.0392,0.3000
0.6675,0.0392,0.2000
0.6675,0.0784,0.2000
0.6675,0.1176,0.2000
0.6675,0.1569,0.2000
0.6675,0.1961,0.2000
0.3337,0.2353,0.1000
1.0012,0.2353,0.1000
0.3337,0.2353,0.3000
1.0012,0.2353,0.3000
0.6675,0.2353,0.2000
0.6675,0.2745,0.2000
0.6675,0.3137,0.2000
0.6675,0.3529,0.2000
0.6675,0.3922,0.2000
0.3337,0.4314,0.1000
1.0012,0.4314,0.1000
0.3337,0.4314,0.3000
1.0012,0.4314,0.3000
0.6675,0.4314,0.2000
0.6675,0.4706,0.2000
0.6675,0.5098,0.2000
0.6675,0.5490,0.2000
0.6675,0.5882,0.2000
0.3337,0.6275,0.1000
1.0012,0.6275,0.1000
0.3337,0.6275,0.3000
1.0012,0.6275,0.3000
0.6675,0.6275,0.2000
0.6675,0.6667,0.2000
0.6675,0.7059,0.2000
0.6675,0.7451,0.2000
0.6675,0.7843,0.2000
0.3337,0.8235,0.1000
1.0012,0.8235,0.1000
0.3337,0.8235,0.3000
1.0012,0.8235,0.3000
0.6675,0.8235,0.2000
0.6675,0.8627,0.2000
0.6675,0.9020,0.2000
0.6675,0.9412,0.2000
0.6675,0.9804,0.2000
0.3337,1.0196,0.1000
1.0012,1.0196,0.1000
0.3337,1.0196,0.3000
1.0012,1.0196,0.3000
0.6675,1.0196,0.2000
0.6675,1.0588,0.2000
0.6675,1.0980,0.2000
0.6675,1.1373,0.2000
0.6675,1.1765,0.2000
0.3337,1.2157,0.1000
1.0012,1.2157,0.1000
0.3337,1.2157,0.3000
1.0012,1.2157,0.3000
0.6675,1.2157,0.2000
0.6675,1.2549,0.2000
0.6675,1.2941,0.2000
0.6675,1.3333,0.2000
0.6675,1.3725,0.2000
0.3337,1.4118,0.1000
1.0012,1.4118,0.1000
0.3337,1.4118,0.3000
1.0012,1.4118,0.3000
0.6675,1.4118,0.2000
0.6675,1.4510,0.2000
0.6675,1.4902,0.2000
0.6675,1.5294,0.2000
0.6675,1.5686,0.2000
0.3337,1.6078,0.1000
1.0012,1.6078,0.1000
0.3337,1.6078,0.3000
1.0012,1.6078,0.3000
0.6675,1.6078,0.2000
0.6675,1.6471,0.2000
0.6675,1.6863,0.2000
0.6675,1.7255,0.2000
0.6675,1.7647,0.2000
0.3337,1.8039,0.1000
1.0012,1.8039,0.1000
0.3337,1.8039,0.3000
1.0012,1.8039,0.3000
0.6675,1.8039,0.2000
0.6675,1.8431,0.2000
0.6675,1.8824,0.2000
0.6675,1.9216,0.2000
0.6675,1.9608,0.2000
0.3337,0.0392,0.5000
1.0012,0.0392,0.5000
0.3337,0.0392,0.7000
1.0012,0.0392,0.7000
0.6675,0.0392,0.6000
0.6675,0.0784,0.6000
0.6675,0.1176,0.6000
0.6675,0.1569,0.6000
0.6675,0.1961,0.6000
0.3337,0.2353,0.5000
1.0012,0.2353,0.5000
0.3337,0.2353,0.7000
1.0012,0.2353,0.7000
0.6675,0.2353,0.6000
0.6675,0.2745,0.6000
0.6675,0.3137,0.6000
0.6675,0.3529,0.6000
0.6675,0.3922,0.6000
0.3337,0.4314,0.5000
1.0012,0.4314,0.5000
0.3337,0.4314,0.7000
1.0012,0.4314,0.7000
0.6675,0.4314,0.6000
0.6675,0.4706,0.6000
0.6675,0.5098,0.6000
0.6675,0.5490,0.6000
0.6675,0.5882,0.6000
0.3337,0.6275,0.5000
1.0012,0.6275,0.5000
0.3337,0.6275,0.7000
1.0012,0.6275,0.7000
0.6675,0.6275,0.6000
0.6675,0.6667,0.6000
0.6675,0.7059,0.6000
0.6675,0.7451,0.6000
0.6675,0.7843,0.6000
0.3337,0.8235,0.5000
1.0012,0.8235,0.5000
0.3337,0.8235,0.7000
1.0012,0.8235,0.7000
0.6675,0.8235,0.6000
0.6675,0.8627,0.6000
0.6675,0.9020,0.6000
0.6675,0.9412,0.6000
0.6675,0.9804,0.6000
0.3337,1.0196,0.5000
1.0012,1.0196,0.5000
0.3337,1.0196,0.7000
1.0012,1.0196,0.7000
0.6675,1.0196,0.6000
0.6675,1.0588,0.6000
0.6675,1.0980,0.6000
0.6675,1.1373,0.6000
0.6675,1.1765,0.6000
0.3337,1.2157,0.5000
1.0012,1.2157,0.5000
0.3337,1.2157,0.7000
1.0012,1.2157,0.7000
0.6675,1.2157,0.6000
0.6675,1.2549,0.6000
0.6675,1.2941,0.6000
0.6675,1.3333,0.6000
0.6675,1.3725,0.6000
0.3337,1.4118,0.5000
1.0012,1.4118,0.5000
0.3337,1.4118,0.7000
1.0012,1.4118,0.7000
0.6675,1.4118,0.6000
0.6675,1.4510,0.6000
0.6675,1.4902,0.6000
0.6675,1.5294,0.6000
0.6675,1.5686,0.6000
0.3337,1.6078,0.5000
1.0012,1.6078,0.5000
0.3337,1.6078,0.7000
1.0012,1.6078,0.7000
0.6675,1.6078,0.6000
0.6675,1.6471,0.6000
0.6675,1.6863,0.6000
0.6675,1.7255,0.6000
0.6675,1.7647,0.6000
0.3337,1.8039,0.5000
1.0012,1.8039,0.5000
0.3337,1.8039,0.7000
1.0012,1.8039,0.7000
0.6675,1.8039,0.6000
0.6675,1.8431,0.6000
0.6675,1.8824,0.6000
0.6675,1.9216,0.6000
0.6675,1.9608,0.6000
1.6687,0.0392,0.1000
2.3362,0.0392,0.1000
1.6687,0.0392,0.3000
2.3362,0.0392,0.3000
2.0025,0.0392,0.2000
2.0025,0.0784,0.2000
2.0025,0.1176,0.2000
2.0025,0.1569,0.2000
2.0025,0.1961,0.2000
1.6687,0.2353,0.1000
2.3362,0.2353,0.1000
1.6687,0.2353,0.3000
2.3362,0.2353,0.3000
2.0025,0.2353,0.2000
2.0025,0.2745,0.2000
2.0025,0.3137,0.2000
2.0025,0.3529,0.2000
2.0025,0.3922,0.2000
1.6687,0.4314,0.1000
2.3362,0.4314,0.1000
1.6687,0.4314,0.3000
2.3362,0.4314,0.3000
2.0025,0.4314,0.2000
2.0025,0.4706,0.2000
2.0025,0.5098,0.2000
2.0025,0.5490,0.2000
2.0025,0.5882,0.2000
1.6687,0.6275,0.1000
2.3362,0.6275,0.1000
1.6687,0.6275,0.3000
2.3362,0.6275,0.3000
2.0025,0.6275,0.2000
2.0025,0.6667,0.2000
2.0025,0.7059,0.2000
2.0025,0.7451,0.2000
2.0025,0.7843,0.2000
1.6687,0.8235,0.1000
2.3362,0.8235,0.1000
1.6687,0.8235,0.3000
2.3362,0.8235,0.3000
2.0025,0.8235,0.2000
2.0025,0.8627,0.2000
2.0025,0.9020,0.2000
2.0025,0.9412,0.2000
2.0025,0.9804,0.2000
1.6687,1.0196,0.1000
2.3362,1.0196,0.1000
1.6687,1.0196,0.3000
2.3362,1.0196,0.3000
2.0025,1.0196,0.2000
2.0025,1.0588,0.2000
2.0025,1.0980,0.2000
2.0025,1.1373,0.2000
2.0025,1.1765,0.2000
1.6687,1.2157,0.1000
2.3362,1.2157,0.1000
1.6687,1.2157,0.3000
2.3362,1.2157,0.3000
2.0025,1.2157,0.2000
2.0025,1.2549,0.2000
2.0025,1.2941,0.2000
2.0025,1.3333,0.2000
2.0025,1.3725,0.2000
1.6687,1.4118,0.1000
2.3362,1.4118,0.1000
1.6687,1.4118,0.3000
2.3362,1.4118,0.3000
2.0025,1.4118,0.2000
2.0025,1.4510,0.2000
2.0025,1.4902,0.2000
2.0025,1.5294,0.2000
2.0025,1.5686,0.2000
1.6687,1.6078,0.1000
2.3362,1.6078,0.1000
1.6687,1.6078,0.3000
2.3362,1.6078,0.3000
2.0025,1.6078,0.2000
2.0025,1.6471,0.2000
2.0025,1.6863,0.2000
2.0025,1.7255,0.2000
2.0025,1.7647,0.2000
1.6687,1.8039,0.1000
2.3362,1.8039,0.1000
1.6687,1.8039,0.3000
2.3362,1.8039,0.3000
2.0025,1.8039,0.2000
2.0025,1.8431,0.2000
2.0025,1.8824,0.2000
2.0025,1.9216,0.2000
2.0025,1.9608,0.2000
1.6687,0.0392,0.5000
2.3362,0.0392,0.5000
1.6687,0.0392,0.7000
2.3362,0.0392,0.7000
2.0025,0.0392,0.6000
2.0025,0.0784,0.6000
2.0025,0.1176,0.6000
2.0025,0.1569,0.6000
2.0025,0.1961,0.6000
1.6687,0.2353,0.5000
2.3362,0.2353,0.5000
1.6687,0.2353,0.7000
2.3362,0.2353,0.7000
2.0025,0.2353,0.6000
2.0025,0.2745,0.6000
2.0025,0.3137,0.6000
2.0025,0.3529,0.6000
2.0025,0.3922,0.6000
1.6687,0.4314,0.5000
2.3362,0.4314,0.5000
1.6687,0.4314,0.7000
2.3362,0.4314,0.7000
2.0025,0.4314,0.6000
2.0025,0.4706,0.6000
2.0025,0.5098,0.6000
2.0025,0.5490,0.6000
2.0025,0.5882,0.6000
1.6687,0.6275,0.5000
2.3362,0.6275,0.5000
1.6687,0.6275,0.7000
2.3362,0.6275,0.7000
2.0025,0.6275,0.6000
2.0025,0.6667,0.6000
2.0025,0.7059,0.6000
2.0025,0.7451,0.6000
2.0025,0.7843,0.6000
1.6687,0.8235,0.5000
2.3362,0.8235,0.5000
1.6687,0.8235,0.7000
2.3362,0.8235,0.7000
2.0025,0.8235,0.6000
2.0025,0.8627,0.6000
2.0025,0.9020,0.6000
2.0025,0.9412,0.6000
2.0025,0.9804,0.6000
1.6687,1.0196,0.5000
2.3362,1.0196,0.5000
1.6687,1.0196,0.7000
2.3362,1.0196,0.7000
2.0025,1.0196,0.6000
2.0025,1.0588,0.6000
2.0025,1.0980,0.6000
2.0025,1.1373,0.6000
2.0025,1.1765,0.6000
1.6687,1.2157,0.5000
2.3362,1.2157,0.5000
1.6687,1.2157,0.7000
2.3362,1.2157,0.7000
2.0025,1.2157,0.6000
2.0025,1.2549,0.6000
2.0025,1.2941,0.6000
2.0025,1.3333,0.6000
2.0025,1.3725,0.6000
1.6687,1.4118,0.5000
2.3362,1.4118,0.5000
1.6687,1.4118,0.7000
2.3362,1.4118,0.7000
2.0025,1.4118,0.6000
2.0025,1.4510,0.6000
2.0025,1.4902,0.6000
2.0025,1.5294,0.6000
2.0025,1.5686,0.6000
1.6687,1.6078,0.5000
2.3362,1.6078,0.5000
1.6687,1.6078,0.7000
2.3362,1.6078,0.7000
2.0025,1.6078,0.6000
2.0025,1.6471,0.6000
2.0025,1.6863,0.6000
2.0025,1.7255,0.6000
2.0025,1.7647,0.6000
1.6687,1.8039,0.5000
2.3362,1.8039,0.5000
1.6687,1.8039,0.7000
2.3362,1.8039,0.7000
2.0025,1.8039,0.6000
2.0025,1.8431,0.6000
2.0025,1.8824,0.6000
2.0025,1.9216,0.6000
2.0025,1.9608,0.6000
END_WITNESS_POINTS
