WITNESS_POINTS, NUMBER=160
0.3337,0.2222,0.1000
1.0012,0.2222,0.1000
0.3337,0.2222,0.3000
1.0012,0.2222,0.3000
0.6675,0.2222,0.2000
0.3337,0.4444,0.1000
1.0012,0.4444,0.1000
0.3337,0.4444,0.3000
1.0012,0.4444,0.3000
0.6675,0.4444,0.2000
0.3337,0.6667,0.1000
1.0012,0.6667,0.1000
0.3337,0.6667,0.3000
1.0012,0.6667,0.3000
0.6675,0.6667,0.2000
0.3337,0.8889,0.1000
1.0012,0.8889,0.1000
0.3337,0.8889,0.3000
1.0012,0.8889,0.3000
0.6675,0.8889,0.2000
0.3337,1.1111,0.1000
1.0012,1.1111,0.1000
0.3337,1.1111,0.3000
1.0012,1.1111,0.3000
0.6675,1.1111,0.2000
0.3337,1.3333,0.1000
1.0012,1.3333,0.1000
0.3337,1.3333,0.3000
1.0012,1.3333,0.3000
0.6675,1.3333,0.2000
0.3337,1.5556,0.1000
1.0012,1.5556,0.1000
0.3337,1.5556,0.3000
1.0012,1.5556,0.3000
0.6675,1.5556,0.2000
0.3337,1.7778,0.1000
1.0012,1.7778,0.1000
0.3337,1.7778,0.3000
1.0012,1.7778,0.3000
0.6675,1.7778,0.2000
0.3337,0.2222,0.5000
1.0012,0.2222,0.5000
0.3337,0.2222,0.7000
1.0012,0.2222,0.7000
0.6675,0.2222,0.6000
0.3337,0.4444,0.5000
1.0012,0.4444,0.5000
0.3337,0.4444,0.7000
1.0012,0.4444,0.7000
0.6675,0.4444,0.6000
0.3337,0.6667,0.5000
1.0012,0.6667,0.5000
0.3337,0.6667,0.7000
1.0012,0.6667,0.7000
0.6675,0.6667,0.6000
0.3337,0.8889,0.5000
1.0012,0.8889,0.5000
0.3337,0.8889,0.7000
1.0012,0.8889,0.7000
0.6675,0.8889,0.6000
0.3337,1.1111,0.5000
1.0012,1.1111,0.5000
0.3337,1.1111,0.7000
1.0012,1.1111,0.7000
0.6675,1.1111,0.6000
0.3337,1.3333,0.5000
1.0012,1.3333,0.5000
0.3337,1.3333,0.7000
1.0012,1.3333,0.7000
0.6675,1.3333,0.6000
0.3337,1.5556,0.5000
1.0012,1.5556,0.5000
0.3337,1.5556,0.7000
1.0012,1.5556,0.7000
0.6675,1.5556,0.6000
0.3337,1.7778,0.5000
1.0012,1.7778,0.5000
0.3337,1.7778,0.7000
1.0012,1.7778,0.7000
0.6675,1.7778,0.6000
1.6687,0.2222,0.1000
2.3362,0.2222,0.1000
1.6687,0.2222,0.3000
2.3362,0.2222,0.3000
2.0025,0.2222,0.2000
1.6687,0.4444,0.1000
2.3362,0.4444,0.1000
1.6687,0.4444,0.3000
2.3362,0.4444,0.3000
2.0025,0.4444,0.2000
1.6687,0.6667,0.1000
2.3362,0.6667,0.1000
1.6687,0.6667,0.3000
2.3362,0.6667,0.3000
2.0025,0.6667,0.2000
1.6687,0.8889,0.1000
2.3362,0.8889,0.1000
1.6687,0.8889,0.3000
2.3362,0.8889,0.3000
2.0025,0.8889,0.2000
1.6687,1.1111,0.1000
2.3362,1.1111,0.1000
1.6687,1.1111,0.3000
2.3362,1.1111,0.3000
2.0025,1.1111,0.2000
1.6687,1.3333,0.1000
2.3362,1.3333,0.1000
1.6687,1.3333,0.3000
2.3362,1.3333,0.3000
2.0025,1.3333,0.2000
1.6687,1.5556,0.1000
2.3362,1.5556,0.1000
1.6687,1.5556,0.3000
2.3362,1.5556,0.3000
2.0025,1.5556,0.2000
1.6687,1.7778,0.1000
2.3362,1.7778,0.1000
1.6687,1.7778,0.3000
2.3362,1.7778,0.3000
2.0025,1.7778,0.2000
1.6687,0.2222,0.5000
2.3362,0.2222,0.5000
1.6687,0.2222,0.7000
2.3362,0.2222,0.7000
2.0025,0.2222,0.6000
1.6687,0.4444,0.5000
2.3362,0.4444,0.5000
1.6687,0.4444,0.7000
2.3362,0.4444,0.7000
2.0025,0.4444,0.6000
1.6687,0.6667,0.5000
2.3362,0.6667,0.5000
1.6687,0.6667,0.7000
2.3362,0.6667,0.7000
2.0025,0.6667,0.6000
1.6687,0.8889,0.5000
2.3362,0.8889,0.5000
1.6687,0.8889,0.7000
2.3362,0.8889,0.7000
2.0025,0.8889,0.6000
1.6687,1.1111,0.5000
2.3362,1.1111,0.5000
1.6687,1.1111,0.7000
2.3362,1.1111,0.7000
2.0025,1.1111,0.6000
1.6687,1.3333,0.5000
2.3362,1.3333,0.5000
1.6687,1.3333,0.7000
2.3362,1.3333,0.7000
2.0025,1.3333,0.6000
1.6687,1.5556,0.5000
2.3362,1.5556,0.5000
1.6687,1.5556,0.7000
2.3362,1.5556,0.7000
2.0025,1.5556,0.6000
1.6687,1.7778,0.5000
2.3362,1.7778,0.5000
1.6687,1.7778,0.7000
2.3362,1.7778,0.7000
2.0025,1.7778,0.6000
END_WITNESS_POINTS
