WITNESS_POINTS, NUMBER=453
2.700000,2.000000,1.000000
2.700000,2.000000,2.050000
2.700000,2.000000,3.000000
2.689365,2.121554,1.000000
2.689365,2.121554,2.050000
2.689365,2.121554,3.000000
2.657785,2.239414,1.000000
2.657785,2.239414,2.050000
2.657785,2.239414,3.000000
2.606218,2.350000,1.000000
2.606218,2.350000,2.050000
2.606218,2.350000,3.000000
2.536231,2.449951,1.000000
2.536231,2.449951,2.050000
2.536231,2.449951,3.000000
2.449951,2.536231,1.000000
2.449951,2.536231,2.050000
2.449951,2.536231,3.000000
2.350000,2.606218,1.000000
2.350000,2.606218,2.050000
2.350000,2.606218,3.000000
2.239414,2.657785,1.000000
2.239414,2.657785,2.050000
2.239414,2.657785,3.000000
2.121554,2.689365,1.000000
2.121554,2.689365,2.050000
2.121554,2.689365,3.000000
2.000000,2.700000,1.000000
2.000000,2.700000,2.050000
2.000000,2.700000,3.000000
1.878446,2.689365,1.000000
1.878446,2.689365,2.050000
1.878446,2.689365,3.000000
1.760586,2.657785,1.000000
1.760586,2.657785,2.050000
1.760586,2.657785,3.000000
1.650000,2.606218,1.000000
1.650000,2.606218,2.050000
1.650000,2.606218,3.000000
1.550049,2.536231,1.000000
1.550049,2.536231,2.050000
1.550049,2.536231,3.000000
1.463769,2.449951,1.000000
1.463769,2.449951,2.050000
1.463769,2.449951,3.000000
1.393782,2.350000,1.000000
1.393782,2.350000,2.050000
1.393782,2.350000,3.000000
1.342215,2.239414,1.000000
1.342215,2.239414,2.050000
1.342215,2.239414,3.000000
1.310635,2.121554,1.000000
1.310635,2.121554,2.050000
1.310635,2.121554,3.000000
1.300000,2.000000,1.000000
1.300000,2.000000,2.050000
1.300000,2.000000,3.000000
1.310635,1.878446,1.000000
1.310635,1.878446,2.050000
1.310635,1.878446,3.000000
1.342215,1.760586,1.000000
1.342215,1.760586,2.050000
1.342215,1.760586,3.000000
1.393782,1.650000,1.000000
1.393782,1.650000,2.050000
1.393782,1.650000,3.000000
1.463769,1.550049,1.000000
1.463769,1.550049,2.050000
1.463769,1.550049,3.000000
1.550049,1.463769,1.000000
1.550049,1.463769,2.050000
1.550049,1.463769,3.000000
1.650000,1.393782,1.000000
1.650000,1.393782,2.050000
1.650000,1.393782,3.000000
1.760586,1.342215,1.000000
1.760586,1.342215,2.050000
1.760586,1.342215,3.000000
1.878446,1.310635,1.000000
1.878446,1.310635,2.050000
1.878446,1.310635,3.000000
2.000000,1.300000,1.000000
2.000000,1.300000,2.050000
2.000000,1.300000,3.000000
2.121554,1.310635,1.000000
2.121554,1.310635,2.050000
2.121554,1.310635,3.000000
2.239414,1.342215,1.000000
2.239414,1.342215,2.050000
2.239414,1.342215,3.000000
2.350000,1.393782,1.000000
2.350000,1.393782,2.050000
2.350000,1.393782,3.000000
2.449951,1.463769,1.000000
2.449951,1.463769,2.050000
2.449951,1.463769,3.000000
2.536231,1.550049,1.000000
2.536231,1.550049,2.050000
2.536231,1.550049,3.000000
2.606218,1.650000,1.000000
2.606218,1.650000,2.050000
2.606218,1.650000,3.000000
2.657785,1.760586,1.000000
2.657785,1.760586,2.050000
2.657785,1.760586,3.000000
2.689365,1.878446,1.000000
2.689365,1.878446,2.050000
2.689365,1.878446,3.000000
3.000000,2.000000,1.000000
3.000000,2.000000,2.050000
3.000000,2.000000,3.000000
2.984808,2.173648,1.000000
2.984808,2.173648,2.050000
2.984808,2.173648,3.000000
2.939693,2.342020,1.000000
2.939693,2.342020,2.050000
2.939693,2.342020,3.000000
2.866025,2.500000,1.000000
2.866025,2.500000,2.050000
2.866025,2.500000,3.000000
2.766044,2.642788,1.000000
2.766044,2.642788,2.050000
2.766044,2.642788,3.000000
2.642788,2.766044,1.000000
2.642788,2.766044,2.050000
2.642788,2.766044,3.000000
2.500000,2.866025,1.000000
2.500000,2.866025,2.050000
2.500000,2.866025,3.000000
2.342020,2.939693,1.000000
2.342020,2.939693,2.050000
2.342020,2.939693,3.000000
2.173648,2.984808,1.000000
2.173648,2.984808,2.050000
2.173648,2.984808,3.000000
2.000000,3.000000,1.000000
2.000000,3.000000,2.050000
2.000000,3.000000,3.000000
1.826352,2.984808,1.000000
1.826352,2.984808,2.050000
1.826352,2.984808,3.000000
1.657980,2.939693,1.000000
1.657980,2.939693,2.050000
1.657980,2.939693,3.000000
1.500000,2.866025,1.000000
1.500000,2.866025,2.050000
1.500000,2.866025,3.000000
1.357212,2.766044,1.000000
1.357212,2.766044,2.050000
1.357212,2.766044,3.000000
1.233956,2.642788,1.000000
1.233956,2.642788,2.050000
1.233956,2.642788,3.000000
1.133975,2.500000,1.000000
1.133975,2.500000,2.050000
1.133975,2.500000,3.000000
1.060307,2.342020,1.000000
1.060307,2.342020,2.050000
1.060307,2.342020,3.000000
1.015192,2.173648,1.000000
1.015192,2.173648,2.050000
1.015192,2.173648,3.000000
1.000000,2.000000,1.000000
1.000000,2.000000,2.050000
1.000000,2.000000,3.000000
1.015192,1.826352,1.000000
1.015192,1.826352,2.050000
1.015192,1.826352,3.000000
1.060307,1.657980,1.000000
1.060307,1.657980,2.050000
1.060307,1.657980,3.000000
1.133975,1.500000,1.000000
1.133975,1.500000,2.050000
1.133975,1.500000,3.000000
1.233956,1.357212,1.000000
1.233956,1.357212,2.050000
1.233956,1.357212,3.000000
1.357212,1.233956,1.000000
1.357212,1.233956,2.050000
1.357212,1.233956,3.000000
1.500000,1.133975,1.000000
1.500000,1.133975,2.050000
1.500000,1.133975,3.000000
1.657980,1.060307,1.000000
1.657980,1.060307,2.050000
1.657980,1.060307,3.000000
1.826352,1.015192,1.000000
1.826352,1.015192,2.050000
1.826352,1.015192,3.000000
2.000000,1.000000,1.000000
2.000000,1.000000,2.050000
2.000000,1.000000,3.000000
2.173648,1.015192,1.000000
2.173648,1.015192,2.050000
2.173648,1.015192,3.000000
2.342020,1.060307,1.000000
2.342020,1.060307,2.050000
2.342020,1.060307,3.000000
2.500000,1.133975,1.000000
2.500000,1.133975,2.050000
2.500000,1.133975,3.000000
2.642788,1.233956,1.000000
2.642788,1.233956,2.050000
2.642788,1.233956,3.000000
2.766044,1.357212,1.000000
2.766044,1.357212,2.050000
2.766044,1.357212,3.000000
2.866025,1.500000,1.000000
2.866025,1.500000,2.050000
2.866025,1.500000,3.000000
2.939693,1.657980,1.000000
2.939693,1.657980,2.050000
2.939693,1.657980,3.000000
2.984808,1.826352,1.000000
2.984808,1.826352,2.050000
2.984808,1.826352,3.000000
2.750000,0.500000,1.000000
2.750000,0.500000,2.050000
2.750000,0.500000,3.000000
2.750000,1.000000,1.000000
2.750000,1.000000,2.050000
2.750000,1.000000,3.000000
2.750000,1.500000,1.000000
2.750000,1.500000,2.050000
2.750000,1.500000,3.000000
2.750000,2.000000,1.000000
2.750000,2.000000,2.050000
2.750000,2.000000,3.000000
2.750000,2.500000,1.000000
2.750000,2.500000,2.050000
2.750000,2.500000,3.000000
2.750000,3.000000,1.000000
2.750000,3.000000,2.050000
2.750000,3.000000,3.000000
2.750000,3.500000,1.000000
2.750000,3.500000,2.050000
2.750000,3.500000,3.000000
3.000000,0.500000,1.000000
3.000000,0.500000,2.050000
3.000000,0.500000,3.000000
3.000000,1.000000,1.000000
3.000000,1.000000,2.050000
3.000000,1.000000,3.000000
3.000000,1.500000,1.000000
3.000000,1.500000,2.050000
3.000000,1.500000,3.000000
3.000000,2.000000,1.000000
3.000000,2.000000,2.050000
3.000000,2.000000,3.000000
3.000000,2.500000,1.000000
3.000000,2.500000,2.050000
3.000000,2.500000,3.000000
3.000000,3.000000,1.000000
3.000000,3.000000,2.050000
3.000000,3.000000,3.000000
3.000000,3.500000,1.000000
3.000000,3.500000,2.050000
3.000000,3.500000,3.000000
3.500000,0.500000,1.000000
3.500000,0.500000,2.050000
3.500000,0.500000,3.000000
3.500000,1.000000,1.000000
3.500000,1.000000,2.050000
