WITNESS_POINTS, NUMBER=2745
6.750000,12.500000,0.034907
6.633022,12.821394,0.034907
6.336824,12.992404,0.034907
6.000000,12.933013,0.034907
5.780154,12.671010,0.034907
5.780154,12.328990,0.034907
6.000000,12.066987,0.034907
6.336824,12.007596,0.034907
6.633022,12.178606,0.034907
6.810000,11.750000,0.034907
6.810000,12.250000,0.034907
6.810000,12.750000,0.034907
6.810000,13.250000,0.034907
7.290000,11.750000,0.034907
7.290000,12.250000,0.034907
7.290000,12.750000,0.034907
7.290000,13.250000,0.034907
7.770000,11.750000,0.034907
7.770000,12.250000,0.034907
7.770000,12.750000,0.034907
7.770000,13.250000,0.034907
8.750000,11.750000,0.034907
8.750000,12.250000,0.034907
8.750000,12.750000,0.034907
8.750000,13.250000,0.034907
9.750000,11.750000,0.034907
9.750000,12.250000,0.034907
9.750000,12.750000,0.034907
9.750000,13.250000,0.034907
10.750000,11.750000,0.034907
10.750000,12.250000,0.034907
10.750000,12.750000,0.034907
10.750000,13.250000,0.034907
12.750000,11.750000,0.034907
12.750000,12.250000,0.034907
12.750000,12.750000,0.034907
12.750000,13.250000,0.034907
15.750000,11.750000,0.034907
15.750000,12.250000,0.034907
15.750000,12.750000,0.034907
15.750000,13.250000,0.034907
6.250000,12.500000,0.034907
6.750000,12.500000,0.034907
7.250000,12.500000,0.034907
7.750000,12.500000,0.034907
8.250000,12.500000,0.034907
8.750000,12.500000,0.034907
9.250000,12.500000,0.034907
9.750000,12.500000,0.034907
10.250000,12.500000,0.034907
10.750000,12.500000,0.034907
11.250000,12.500000,0.034907
11.750000,12.500000,0.034907
12.250000,12.500000,0.034907
12.750000,12.500000,0.034907
13.250000,12.500000,0.034907
13.750000,12.500000,0.034907
14.250000,12.500000,0.034907
14.750000,12.500000,0.034907
15.250000,12.500000,0.034907
15.750000,12.500000,0.034907
6.750000,12.500000,0.104720
6.633022,12.821394,0.104720
6.336824,12.992404,0.104720
6.000000,12.933013,0.104720
5.780154,12.671010,0.104720
5.780154,12.328990,0.104720
6.000000,12.066987,0.104720
6.336824,12.007596,0.104720
6.633022,12.178606,0.104720
6.810000,11.750000,0.104720
6.810000,12.250000,0.104720
6.810000,12.750000,0.104720
6.810000,13.250000,0.104720
7.290000,11.750000,0.104720
7.290000,12.250000,0.104720
7.290000,12.750000,0.104720
7.290000,13.250000,0.104720
7.770000,11.750000,0.104720
7.770000,12.250000,0.104720
7.770000,12.750000,0.104720
7.770000,13.250000,0.104720
8.750000,11.750000,0.104720
8.750000,12.250000,0.104720
8.750000,12.750000,0.104720
8.750000,13.250000,0.104720
9.750000,11.750000,0.104720
9.750000,12.250000,0.104720
9.750000,12.750000,0.104720
9.750000,13.250000,0.104720
10.750000,11.750000,0.104720
10.750000,12.250000,0.104720
10.750000,12.750000,0.104720
10.750000,13.250000,0.104720
12.750000,11.750000,0.104720
12.750000,12.250000,0.104720
12.750000,12.750000,0.104720
12.750000,13.250000,0.104720
15.750000,11.750000,0.104720
15.750000,12.250000,0.104720
15.750000,12.750000,0.104720
15.750000,13.250000,0.104720
6.250000,12.500000,0.104720
6.750000,12.500000,0.104720
7.250000,12.500000,0.104720
7.750000,12.500000,0.104720
8.250000,12.500000,0.104720
8.750000,12.500000,0.104720
9.250000,12.500000,0.104720
9.750000,12.500000,0.104720
10.250000,12.500000,0.104720
10.750000,12.500000,0.104720
11.250000,12.500000,0.104720
11.750000,12.500000,0.104720
12.250000,12.500000,0.104720
12.750000,12.500000,0.104720
13.250000,12.500000,0.104720
13.750000,12.500000,0.104720
14.250000,12.500000,0.104720
14.750000,12.500000,0.104720
15.250000,12.500000,0.104720
15.750000,12.500000,0.104720
6.750000,12.500000,0.174533
6.633022,12.821394,0.174533
6.336824,12.992404,0.174533
6.000000,12.933013,0.174533
5.780154,12.671010,0.174533
5.780154,12.328990,0.174533
6.000000,12.066987,0.174533
6.336824,12.007596,0.174533
6.633022,12.178606,0.174533
6.810000,11.750000,0.174533
6.810000,12.250000,0.174533
6.810000,12.750000,0.174533
6.810000,13.250000,0.174533
7.290000,11.750000,0.174533
