WITNESS_POINTS, NUMBER=1830
6.750000,12.500000,0.052360
6.633022,12.821394,0.052360
6.336824,12.992404,0.052360
6.000000,12.933013,0.052360
5.780154,12.671010,0.052360
5.780154,12.328990,0.052360
6.000000,12.066987,0.052360
6.336824,12.007596,0.052360
6.633022,12.178606,0.052360
6.810000,11.750000,0.052360
6.810000,12.250000,0.052360
6.810000,12.750000,0.052360
6.810000,13.250000,0.052360
7.290000,11.750000,0.052360
7.290000,12.250000,0.052360
7.290000,12.750000,0.052360
7.290000,13.250000,0.052360
7.770000,11.750000,0.052360
7.770000,12.250000,0.052360
7.770000,12.750000,0.052360
7.770000,13.250000,0.052360
8.750000,11.750000,0.052360
8.750000,12.250000,0.052360
8.750000,12.750000,0.052360
8.750000,13.250000,0.052360
9.750000,11.750000,0.052360
9.750000,12.250000,0.052360
9.750000,12.750000,0.052360
9.750000,13.250000,0.052360
10.750000,11.750000,0.052360
10.750000,12.250000,0.052360
10.750000,12.750000,0.052360
10.750000,13.250000,0.052360
12.750000,11.750000,0.052360
12.750000,12.250000,0.052360
12.750000,12.750000,0.052360
12.750000,13.250000,0.052360
15.750000,11.750000,0.052360
15.750000,12.250000,0.052360
15.750000,12.750000,0.052360
15.750000,13.250000,0.052360
6.250000,12.500000,0.052360
6.750000,12.500000,0.052360
7.250000,12.500000,0.052360
7.750000,12.500000,0.052360
8.250000,12.500000,0.052360
8.750000,12.500000,0.052360
9.250000,12.500000,0.052360
9.750000,12.500000,0.052360
10.250000,12.500000,0.052360
10.750000,12.500000,0.052360
11.250000,12.500000,0.052360
11.750000,12.500000,0.052360
12.250000,12.500000,0.052360
12.750000,12.500000,0.052360
13.250000,12.500000,0.052360
13.750000,12.500000,0.052360
14.250000,12.500000,0.052360
14.750000,12.500000,0.052360
15.250000,12.500000,0.052360
15.750000,12.500000,0.052360
6.750000,12.500000,0.157080
6.633022,12.821394,0.157080
6.336824,12.992404,0.157080
6.000000,12.933013,0.157080
5.780154,12.671010,0.157080
5.780154,12.328990,0.157080
6.000000,12.066987,0.157080
6.336824,12.007596,0.157080
6.633022,12.178606,0.157080
6.810000,11.750000,0.157080
6.810000,12.250000,0.157080
6.810000,12.750000,0.157080
6.810000,13.250000,0.157080
7.290000,11.750000,0.157080
7.290000,12.250000,0.157080
7.290000,12.750000,0.157080
7.290000,13.250000,0.157080
7.770000,11.750000,0.157080
7.770000,12.250000,0.157080
7.770000,12.750000,0.157080
7.770000,13.250000,0.157080
8.750000,11.750000,0.157080
8.750000,12.250000,0.157080
8.750000,12.750000,0.157080
8.750000,13.250000,0.157080
9.750000,11.750000,0.157080
9.750000,12.250000,0.157080
9.750000,12.750000,0.157080
9.750000,13.250000,0.157080
10.750000,11.750000,0.157080
10.750000,12.250000,0.157080
10.750000,12.750000,0.157080
10.750000,13.250000,0.157080
12.750000,11.750000,0.157080
12.750000,12.250000,0.157080
12.750000,12.750000,0.157080
12.750000,13.250000,0.157080
15.750000,11.750000,0.157080
15.750000,12.250000,0.157080
15.750000,12.750000,0.157080
15.750000,13.250000,0.157080
6.250000,12.500000,0.157080
6.750000,12.500000,0.157080
7.250000,12.500000,0.157080
7.750000,12.500000,0.157080
8.250000,12.500000,0.157080
8.750000,12.500000,0.157080
9.250000,12.500000,0.157080
9.750000,12.500000,0.157080
10.250000,12.500000,0.157080
10.750000,12.500000,0.157080
11.250000,12.500000,0.157080
11.750000,12.500000,0.157080
12.250000,12.500000,0.157080
12.750000,12.500000,0.157080
13.250000,12.500000,0.157080
13.750000,12.500000,0.157080
14.250000,12.500000,0.157080
14.750000,12.500000,0.157080
15.250000,12.500000,0.157080
15.750000,12.500000,0.157080
6.750000,12.500000,0.261799
6.633022,12.821394,0.261799
6.336824,12.992404,0.261799
6.000000,12.933013,0.261799
5.780154,12.671010,0.261799
5.780154,12.328990,0.261799
6.000000,12.066987,0.261799
6.336824,12.007596,0.261799
6.633022,12.178606,0.261799
6.810000,11.750000,0.261799
6.810000,12.250000,0.261799
6.810000,12.750000,0.261799
6.810000,13.250000,0.261799
7.290000,11.750000,0.261799
7.290000,12.250000,0.261799
7.290000,12.750000,0.261799
7.290000,13.250000,0.261799
7.770000,11.750000,0.261799
7.770000,12.250000,0.261799
7.770000,12.750000,0.261799
7.770000,13.250000,0.261799
8.750000,11.750000,0.261799
8.750000,12.250000,0.261799
8.750000,12.750000,0.261799
8.750000,13.250000,0.261799
9.750000,11.750000,0.261799
9.750000,12.250000,0.261799
9.750000,12.750000,0.261799
9.750000,13.250000,0.261799
10.750000,11.750000,0.261799
10.750000,12.250000,0.261799
10.750000,12.750000,0.261799
10.750000,13.250000,0.261799
12.750000,11.750000,0.261799
12.750000,12.250000,0.261799
12.750000,12.750000,0.261799
12.750000,13.250000,0.261799
15.750000,11.750000,0.261799
15.750000,12.250000,0.261799
15.750000,12.750000,0.261799
15.750000,13.250000,0.261799
6.250000,12.500000,0.261799
6.750000,12.500000,0.261799
7.250000,12.500000,0.261799
7.750000,12.500000,0.261799
8.250000,12.500000,0.261799
8.750000,12.500000,0.261799
9.250000,12.500000,0.261799
9.750000,12.500000,0.261799
10.250000,12.500000,0.261799
10.750000,12.500000,0.261799
11.250000,12.500000,0.261799
11.750000,12.500000,0.261799
12.250000,12.500000,0.261799
12.750000,12.500000,0.261799
13.250000,12.500000,0.261799
13.750000,12.500000,0.261799
14.250000,12.500000,0.261799
14.750000,12.500000,0.261799
15.250000,12.500000,0.261799
15.750000,12.500000,0.261799
6.750000,12.500000,0.366519
6.633022,12.821394,0.366519
6.336824,12.992404,0.366519
6.000000,12.933013,0.366519
5.780154,12.671010,0.366519
5.780154,12.328990,0.366519
6.000000,12.066987,0.366519
6.336824,12.007596,0.366519
6.633022,12.178606,0.366519
6.810000,11.750000,0.366519
6.810000,12.250000,0.366519
6.810000,12.750000,0.366519
6.810000,13.250000,0.366519
7.290000,11.750000,0.366519
7.290000,12.250000,0.366519
7.290000,12.750000,0.366519
7.290000,13.250000,0.366519
7.770000,11.750000,0.366519
7.770000,12.250000,0.366519
7.770000,12.750000,0.366519
7.770000,13.250000,0.366519
8.750000,11.750000,0.366519
8.750000,12.250000,0.366519
8.750000,12.750000,0.366519
8.750000,13.250000,0.366519
9.750000,11.750000,0.366519
9.750000,12.250000,0.366519
9.750000,12.750000,0.366519
9.750000,13.250000,0.366519
10.750000,11.750000,0.366519
10.750000,12.250000,0.366519
10.750000,12.750000,0.366519
10.750000,13.250000,0.366519
12.750000,11.750000,0.366519
12.750000,12.250000,0.366519
12.750000,12.750000,0.366519
12.750000,13.250000,0.366519
15.750000,11.750000,0.366519
15.750000,12.250000,0.366519
15.750000,12.750000,0.366519
